type,constituency,station,candidat,date_start,date_end,time_candidat,time_support,time_mention
presidential,national,France 5,Melenchon Jean Luc,2022-01-01,2022-01-16,5.6167,8.7333,0.9333
presidential,national,France 5,Melenchon Jean Luc,2022-01-16,2022-01-30,43.9,0.8667,0.35
presidential,national,France 5,Pecresse Valerie,2022-01-01,2022-01-16,48.1167,5.5,14.9667
presidential,national,France 5,Pecresse Valerie,2022-01-16,2022-01-30,9.8167,2.5167,3.0833
presidential,national,France 5,Philippot Florian,2022-01-16,2022-01-30,0.3667,0,0
presidential,national,France 5,Poutou Philippe,2022-01-01,2022-01-16,0,0.2,0
presidential,national,France 5,Poutou Philippe,2022-01-16,2022-01-30,0.9333,0,0
presidential,national,France 5,Roussel Fabien,2022-01-01,2022-01-16,1.4,1.7667,2.4
presidential,national,France 5,Roussel Fabien,2022-01-16,2022-01-30,2.4167,1.1333,2
presidential,national,France 5,Taubira Christiane,2022-01-01,2022-01-16,1.55,0,4.8667
presidential,national,France 5,Taubira Christiane,2022-01-16,2022-01-30,70.7,0,2.1667
presidential,national,France 5,Thouy Helene,2022-01-01,2022-01-16,0,1.9333,0
presidential,national,France 5,Thouy Helene,2022-01-16,2022-01-30,0,0,0
presidential,national,France 5,Zemmour Eric,2022-01-01,2022-01-16,13.5833,30.6333,8.2333
presidential,national,France 5,Zemmour Eric,2022-01-16,2022-01-30,53.35,11.8833,8.3333
presidential,national,France Culture,Dupont Aignan Nicolas,2022-01-01,2022-01-16,1.3833,0,0
presidential,national,France Culture,Dupont Aignan Nicolas,2022-01-16,2022-01-30,0.3,0,0
presidential,national,France Culture,Hidalgo Anne,2022-01-01,2022-01-16,1.3,0.2833,2.7167
presidential,national,France Culture,Hidalgo Anne,2022-01-16,2022-01-30,1.1167,4.4167,3.1667
presidential,national,France Culture,Jadot Yannick,2022-01-01,2022-01-16,0.8167,0.95,0
presidential,national,France Culture,Jadot Yannick,2022-01-16,2022-01-30,1.6167,25.3,2.8333
presidential,national,France Culture,Koenig Gaspard,2022-01-01,2022-01-16,0.3333,0,1.35
presidential,national,France Culture,Koenig Gaspard,2022-01-16,2022-01-30,0,0,0
presidential,national,France Culture,Larrouturou Pierre,2022-01-01,2022-01-16,0.35,0,0
presidential,national,France Culture,Larrouturou Pierre,2022-01-16,2022-01-30,0,0,0
presidential,national,France Culture,Le Pen Marine,2022-01-01,2022-01-16,1.2333,0,0
presidential,national,France Culture,Le Pen Marine,2022-01-16,2022-01-30,2.9333,0.65,3.1333
presidential,national,France Culture,Macron Emmanuel,2022-01-01,2022-01-16,5.95,4.4,20.7
presidential,national,France Culture,Macron Emmanuel,2022-01-16,2022-01-30,3.6833,2.0667,25.3333
presidential,national,France Culture,Melenchon Jean Luc,2022-01-01,2022-01-16,3.3833,0.95,5.3333
presidential,national,France Culture,Melenchon Jean Luc,2022-01-16,2022-01-30,2.8667,2.6167,8.0333
presidential,national,France Culture,Montebourg Arnaud,2022-01-16,2022-01-30,0,0,1.1
presidential,national,France Culture,Pecresse Valerie,2022-01-01,2022-01-16,1.2333,8.05,3.1333
presidential,national,France Culture,Pecresse Valerie,2022-01-16,2022-01-30,0.4833,0,3.1833
presidential,national,France Culture,Poutou Philippe,2022-01-01,2022-01-16,0.1333,0,0
presidential,national,France Culture,Poutou Philippe,2022-01-16,2022-01-30,0,0,0
presidential,national,France Culture,Roussel Fabien,2022-01-01,2022-01-16,0.2,0.25,0
presidential,national,France Culture,Roussel Fabien,2022-01-16,2022-01-30,1.2,0.2333,1.55
presidential,national,France Culture,Taubira Christiane,2022-01-01,2022-01-16,2.65,0,3.1667
presidential,national,France Culture,Taubira Christiane,2022-01-16,2022-01-30,0,0,0.15
presidential,national,France Culture,Zemmour Eric,2022-01-01,2022-01-16,2.3667,1.3333,2
presidential,national,France Culture,Zemmour Eric,2022-01-16,2022-01-30,0.8833,1.8333,11.5667
presidential,national,France Info,Agueb Porterie Anna,2022-01-16,2022-01-30,6.6833,0,0
presidential,national,France Info,Arthaud Nathalie,2022-01-16,2022-01-30,13.5833,0,0
presidential,national,France Info,Asselineau Francois,2022-01-01,2022-01-16,0,7.6667,0
presidential,national,France Info,Asselineau Francois,2022-01-16,2022-01-30,0,0,0
presidential,national,France Info,Dupont Aignan Nicolas,2022-01-01,2022-01-16,0.3667,0,0
presidential,national,France Info,Dupont Aignan Nicolas,2022-01-16,2022-01-30,10.2833,0,13.5667
presidential,national,France Info,Governatori Jean Marc,2022-01-16,2022-01-30,0.05,0,0
presidential,national,France Info,Grimal Fabrice,2022-01-16,2022-01-30,1.3167,0,0
presidential,national,France Info,Hidalgo Anne,2022-01-01,2022-01-16,22.6333,26.7667,18.7833
presidential,national,France Info,Hidalgo Anne,2022-01-16,2022-01-30,44.0167,33.65,22.8333
presidential,national,France Info,Jadot Yannick,2022-01-01,2022-01-16,12.4167,30.55,0
presidential,national,France Info,Jadot Yannick,2022-01-16,2022-01-30,69.25,18.4833,71.5
presidential,national,France Info,Koenig Gaspard,2022-01-16,2022-01-30,0,0,0.7
presidential,national,France Info,Lam Yaya,2022-01-16,2022-01-30,0.5333,0,0
presidential,national,France Info,Larrouturou Pierre,2022-01-01,2022-01-16,4.5333,0,0
presidential,national,France Info,Larrouturou Pierre,2022-01-16,2022-01-30,0,0,0
presidential,national,France Info,Le Pen Marine,2022-01-01,2022-01-16,46.8,20.6833,8.7833
presidential,national,France Info,Le Pen Marine,2022-01-16,2022-01-30,40.55,78.65,101.15
presidential,national,France Info,Macron Emmanuel,2022-01-01,2022-01-16,50.95,98.1333,166.8667
presidential,national,France Info,Macron Emmanuel,2022-01-16,2022-01-30,18.4,51.1833,155.8833
presidential,national,France Info,Melenchon Jean Luc,2022-01-01,2022-01-16,33.7,65.7667,37.4333
presidential,national,France Info,Melenchon Jean Luc,2022-01-16,2022-01-30,20.9,22.6667,27.6
presidential,national,France Info,Montebourg Arnaud,2022-01-01,2022-01-16,0.5333,0,0
presidential,national,France Info,Montebourg Arnaud,2022-01-16,2022-01-30,0.1333,0,10.1833
presidential,national,France Info,Pecresse Valerie,2022-01-01,2022-01-16,104.1833,95.9667,43.3333
presidential,national,France Info,Pecresse Valerie,2022-01-16,2022-01-30,19.55,49.3167,20.9167
presidential,national,France Info,Pignol Gerard,2022-01-16,2022-01-30,0.1333,0,0
presidential,national,France Info,Poutou Philippe,2022-01-01,2022-01-16,0,11.1,0
presidential,national,France Info,Poutou Philippe,2022-01-16,2022-01-30,0,0,0
presidential,national,France Info,Rocca Martin,2022-01-01,2022-01-16,7.3833,0,0
presidential,national,France Info,Rocca Martin,2022-01-16,2022-01-30,0,0,0
presidential,national,France Info,Roussel Fabien,2022-01-01,2022-01-16,10.6,0,0
presidential,national,France Info,Roussel Fabien,2022-01-16,2022-01-30,75.6167,5.0333,43.95
